CVE_INEGI,CVE_ENT,CVE_MUN,NOM_ENT,NOM_MUN,Tarifa,Consumo 2010,Consumo 2011,Consumo 2012,Consumo 2013,Consumo 2014,Consumo 2015,Consumo 2016,Usuarios 2010,Usuarios 2011,Usuarios 2012,Usuarios 2013,Usuarios 2014,Usuarios 2015,Usuarios 2016
20351.0,20,351,Oaxaca                                            ,San Simon Almolongas                              ,1,533176.0,524457.0,506367.0,546267.0,559348.0,548915.0,565329.0,814.0,830.0,842.0,848.0,876.0,897.0,943.0
20351.0,20,351,Oaxaca                                            ,San Simon Almolongas                              ,DAC,0.0,3918.0,17685.0,6169.0,4127.0,10317.0,4950.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0
20352.0,20,352,Oaxaca                                            ,San Simon Zahuatlan                               ,1,388189.0,416520.0,426706.0,426976.0,428154.0,415842.0,407032.0,469.0,485.0,498.0,510.0,521.0,543.0,581.0
20352.0,20,352,Oaxaca                                            ,San Simon Zahuatlan                               ,DAC,10671.0,5813.0,8391.0,8693.0,9206.0,278.0,4893.0,1.0,2.0,3.0,2.0,2.0,0.0,2.0
20353.0,20,353,Oaxaca                                            ,Santa Ana                                         ,1,394123.0,396615.0,378579.0,415399.0,415560.0,419123.0,412675.0,495.0,510.0,515.0,530.0,544.0,564.0,597.0
20353.0,20,353,Oaxaca                                            ,Santa Ana                                         ,DAC,7740.0,1842.0,612.0,0.0,0.0,0.0,1212.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
20354.0,20,354,Oaxaca                                            ,Santa Ana Ateixtlahuaca                           ,1,49421.0,47924.0,50971.0,57289.0,60511.0,60189.0,68254.0,96.0,96.0,95.0,131.0,131.0,140.0,142.0
20354.0,20,354,Oaxaca                                            ,Santa Ana Ateixtlahuaca                           ,DAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20355.0,20,355,Oaxaca                                            ,Santa Ana Cuauhtemoc                              ,1,116429.0,109314.0,107299.0,114840.0,125479.0,113977.0,102498.0,179.0,179.0,182.0,186.0,197.0,200.0,201.0
20355.0,20,355,Oaxaca                                            ,Santa Ana Cuauhtemoc                              ,DAC,466.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20356.0,20,356,Oaxaca                                            ,Santa Ana del Valle                               ,1,540651.0,559765.0,548422.0,577622.0,578422.0,561447.0,541707.0,657.0,689.0,697.0,709.0,727.0,733.0,750.0
20356.0,20,356,Oaxaca                                            ,Santa Ana del Valle                               ,DAC,1190.0,1434.0,15769.0,2020.0,629.0,2976.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0
20357.0,20,357,Oaxaca                                            ,Santa Ana Tavela                                  ,1C,170672.0,175242.0,180959.0,182485.0,178319.0,176502.0,173222.0,294.0,297.0,300.0,304.0,301.0,309.0,313.0
20357.0,20,357,Oaxaca                                            ,Santa Ana Tavela                                  ,DAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20358.0,20,358,Oaxaca                                            ,Santa Ana Tlapacoyan                              ,1,502247.0,501113.0,507418.0,525696.0,525416.0,527912.0,533278.0,736.0,750.0,771.0,786.0,802.0,830.0,838.0
20358.0,20,358,Oaxaca                                            ,Santa Ana Tlapacoyan                              ,DAC,6082.0,1701.0,11274.0,9040.0,13423.0,7722.0,6415.0,1.0,0.0,1.0,2.0,1.0,2.0,2.0
20359.0,20,359,Oaxaca                                            ,Santa Ana Yareni                                  ,1,193273.0,191974.0,192560.0,172611.0,161706.0,151861.0,118270.0,400.0,404.0,407.0,404.0,405.0,412.0,421.0
20359.0,20,359,Oaxaca                                            ,Santa Ana Yareni                                  ,DAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
